time_first,time_last,initiator,src_ip,dst_ip,src_port,dst_port,l4_proto,duration,pkts_aggr,bytes_aggr,mean_Bpp,mean_pps,mean_Bps,pkts_ab,pkts_ba,bytes_ab,bytes_ba,mean_Bpp_ab,mean_Bpp_ba,mean_pps_ab,mean_pps_ba,mean_Bps_ab,mean_Bps_ba,mean_pkts_asm,mean_bytes_asm,tcp_flags_aggr,tcp_flags_ab,tcp_flags_ba,dga,p_type,p_name,doh_method,doh_server,file_name
1753147746.455315,1753147746.591102,A,10.0.2.100,94.140.15.15,55029,443,6,0.135786771774292,27,3893,144.1851851851852,198.8411658013348,28669.950313503567,14,13,834,3059,59.57142857142857,235.30769230769232,103.10282671180322,95.73833908953156,6141.982676974563,22527.967636529003,0.48148148148148145,0.7857693295658875,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147749.627326,1753147749.762368,A,10.0.2.100,94.140.14.14,50289,443,6,0.1350419521331787,27,3911,144.85185185185185,199.93786799951272,28961.370435040528,14,13,834,3077,59.57142857142857,236.69230769230768,103.67148711085845,96.26638088865427,6175.858589318282,22785.511845722245,0.48148148148148145,0.7867553055484531,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147752.798421,1753147752.956816,A,10.0.2.100,94.140.14.14,51605,443,6,0.15839505195617676,27,3904,144.59259259259258,170.4598702203785,24647.234568161395,14,13,834,3070,59.57142857142857,236.15384615384616,88.38659937352959,82.07327084684891,5265.315991251691,19381.918576909702,0.48148148148148145,0.7863729508196722,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147755.99111,1753147756.153701,A,10.0.2.100,94.140.15.15,55407,443,6,0.16259098052978516,27,3895,144.25925925925927,166.06087196241398,23955.81838124454,14,13,834,3061,59.57142857142857,235.46153846153845,86.1056373138443,79.9552346485697,5129.43582283901,18826.382558405527,0.48148148148148145,0.7858793324775353,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147759.190682,1753147759.37338,A,10.0.2.100,94.140.14.14,52313,443,6,0.18269801139831543,27,3905,144.62962962962962,147.78485979869265,21374.069537551663,14,13,834,3071,59.57142857142857,236.23076923076923,76.62918656228508,71.15567323640758,4564.91011378184,16809.159423769823,0.48148148148148145,0.7864276568501921,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147762.406472,1753147762.544478,A,10.0.2.100,94.140.15.15,38105,443,6,0.13800597190856934,27,3867,143.22222222222223,195.64370749033841,28020.52655056069,14,13,834,3033,59.57142857142857,233.30769230769232,101.44488536536066,94.19882212497775,6043.216742479342,21977.30980808135,0.48148148148148145,0.7843289371605896,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147765.580149,1753147765.744467,A,10.0.2.100,94.140.14.14,37689,443,6,0.16431808471679688,28,3921,140.03571428571428,170.40120719674985,23862.254764944864,15,13,834,3087,55.6,237.46153846153845,91.28636099825886,79.11484619849101,5075.521671503192,18786.73309344167,0.4642857142857143,0.7872991583779648,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147768.783107,1753147768.949711,A,10.0.2.100,94.140.15.15,36243,443,6,0.16660404205322266,28,3899,139.25,168.06314933856908,23402.793545395743,15,13,834,3065,55.6,235.76923076923077,90.03383000280486,78.02931933576421,5005.88094815595,18396.912597239792,0.4642857142857143,0.7860989997435239,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147771.987186,1753147772.112392,A,10.0.2.100,94.140.15.15,51431,443,6,0.12520599365234375,27,3894,144.22222222222223,215.64462860276643,31100.74754737676,14,13,834,3060,59.57142857142857,235.3846153846154,111.8157333495826,103.82889525318384,6661.022972396563,24439.724574980195,0.48148148148148145,0.785824345146379,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147775.150177,1753147775.273458,A,10.0.2.100,94.140.15.15,42169,443,6,0.12328100204467773,27,3876,143.55555555555554,219.0118473421805,31440.367418455244,14,13,834,3042,59.57142857142857,234.0,113.56169862187136,105.45014872030912,6765.032617902908,24675.334800552333,0.48148148148148145,0.7848297213622291,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147778.308522,1753147778.428233,A,10.0.2.100,94.140.14.14,54065,443,6,0.11971092224121094,27,3881,143.74074074074073,225.54332966875387,32419.765275719772,14,13,834,3047,59.57142857142857,234.3846153846154,116.94839316157609,108.59493650717779,6966.782849768176,25452.982425951595,0.48148148148148145,0.7851069312032981,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147781.464648,1753147781.74099,A,10.0.2.100,94.140.14.14,42063,443,6,0.27634191513061523,28,3928,140.28571428571428,101.32375317282423,14214.275087959057,15,13,834,3094,55.6,238.0,54.280582056870124,47.04317111595411,3018.000362361979,11196.274725597077,0.4642857142857143,0.7876782077393075,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147784.774808,1753147784.938764,A,10.0.2.100,94.140.15.15,33533,443,6,0.1639561653137207,27,3875,143.5185185185185,164.67816229012828,23634.365884231374,14,13,834,3041,59.57142857142857,233.92307692307693,85.38867674302948,79.2894855470988,5086.725457406184,18547.64042682519,0.48148148148148145,0.7847741935483871,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147787.967236,1753147788.139429,A,10.0.2.100,94.140.14.14,48763,443,6,0.17219305038452148,28,3877,138.46428571428572,162.60818852720047,22515.426675712722,15,13,834,3043,55.6,234.07692307692307,87.11152956814311,75.49665895905737,4843.401043988757,17672.025631723965,0.4642857142857143,0.7848852205313387,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147791.174037,1753147791.30359,A,10.0.2.100,94.140.15.15,44335,443,6,0.12955307960510254,27,3915,145.0,208.40878566762058,30219.273921804983,14,13,834,3081,59.57142857142857,237.0,108.06381479061807,100.3449708770025,6437.515823955391,23781.75809784959,0.48148148148148145,0.7869731800766283,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147794.335591,1753147794.452553,A,10.0.2.100,94.140.15.15,40331,443,6,0.11696195602416992,27,3936,145.77777777777777,230.8442926041739,33651.96798851957,14,13,834,3102,59.57142857142857,238.6153846153846,119.69704060957164,111.14725199460224,7130.523704884482,26521.44428363509,0.48148148148148145,0.788109756097561,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147797.4867,1753147797.662699,A,10.0.2.100,94.140.14.14,48335,443,6,0.17599892616271973,28,3889,138.89285714285714,159.09187976586068,22096.725728908295,15,13,834,3055,55.6,235.0,85.22779273171108,73.8640870341496,4738.665275883136,17358.06045302516,0.4642857142857143,0.7855489843147339,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147800.69799,1753147801.00276,A,10.0.2.100,94.140.15.15,54399,443,6,0.30476999282836914,28,3887,138.82142857142858,91.87256179701447,12753.8802751784,15,13,834,3053,55.6,234.84615384615384,49.21744381982918,42.65511797718529,2736.489876382502,10017.390398795898,0.4642857142857143,0.7854386416259326,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147804.027345,1753147804.151239,A,10.0.2.100,94.140.15.15,45407,443,6,0.12389397621154785,27,3905,144.62962962962962,217.9282708135684,31518.88509359202,14,13,834,3071,59.57142857142857,236.23076923076923,112.99984412555398,104.92842668801441,6731.562142908001,24787.322950684018,0.48148148148148145,0.7864276568501921,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147807.179805,1753147807.332223,A,10.0.2.100,94.140.14.14,44139,443,6,0.15241789817810059,27,3864,143.11111111111111,177.14455010034618,25351.35339213843,14,13,834,3030,59.57142857142857,233.07692307692307,91.85272968166097,85.29182041868519,5471.7983253218035,19879.555066816625,0.48148148148148145,0.7841614906832298,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147810.355874,1753147810.519478,A,10.0.2.100,94.140.15.15,51405,443,6,0.1636040210723877,27,3897,144.33333333333334,165.0326185323628,23819.707941504363,14,13,834,3063,59.57142857142857,235.6153846153846,85.57246886863255,79.46014966373022,5097.674216888539,18722.033724615823,0.48148148148148145,0.7859892224788299,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147813.537791,1753147813.90797,A,10.0.2.100,94.140.14.14,36663,443,6,0.3701789379119873,28,3908,139.57142857142858,75.63909540055248,10557.056600905682,15,13,834,3074,55.6,236.46153846153845,40.52094396458168,35.118151435970795,2252.964484430742,8304.09211647494,0.4642857142857143,0.7865916069600819,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147816.945698,1753147817.107465,A,10.0.2.100,94.140.14.14,47899,443,6,0.16176700592041016,27,3900,144.44444444444446,166.90671775976418,24108.748120854827,14,13,834,3066,59.57142857142857,235.84615384615384,86.54422402358144,80.36249373618276,5155.563059690494,18953.18506116433,0.48148148148148145,0.7861538461538462,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147820.142251,1753147820.338097,A,10.0.2.100,94.140.15.15,34219,443,6,0.1958460807800293,28,3892,139.0,142.9694170466913,19872.74896949009,15,13,834,3058,55.6,235.23076923076923,76.59075913215605,66.37865791453524,4258.4462077478765,15614.302761742212,0.4642857142857143,0.7857142857142857,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
