%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	13	0x0400000000004001	1750528926.916292000	1750528927.074811000	0.158519000	108.177.97.84	443	10.0.2.100	37504	6	9	5055	0	1440	561.6667	718.95	516889.1	1.219108	2.575927	56.77553	31888.92	-0.05263158	0.467344	0x1001	1	4	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_2_9_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	14	0x0800000000008000	1750528927.598832000	1750528927.598832000	0.000000000	fd00::c409:e6ff:fe88:b284	48784	2001:4860:4860::8844	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	15	0x0800000000008000	1750528927.599167000	1750528927.599167000	0.000000000	fd00::c409:e6ff:fe88:b284	41572	2001:4860:4860::8888	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	17	0x0800000000008000	1750528927.613455000	1750528927.613455000	0.000000000	fd00::c409:e6ff:fe88:b284	37048	2001:4860:4860::8888	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	18	0x0800000000008000	1750528927.613511000	1750528927.613511000	0.000000000	fd00::c409:e6ff:fe88:b284	58522	2001:4860:4860::8844	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	23	0x0800000000008000	1750528929.260722000	1750528929.260722000	0.000000000	fd00::c409:e6ff:fe88:b284	37096	2606:4700::6810:281c	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	24	0x0800000000008000	1750528929.261599000	1750528929.261599000	0.000000000	fd00::c409:e6ff:fe88:b284	40944	2606:4700::6811:180e	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	25	0x0800000000008000	1750528929.261763000	1750528929.261763000	0.000000000	fd00::c409:e6ff:fe88:b284	37946	2606:4700::6810:291c	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	26	0x0800000000008000	1750528929.261833000	1750528929.261833000	0.000000000	fd00::c409:e6ff:fe88:b284	54480	2606:4700::6811:190e	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	29	0x0800000000008000	1750528929.541464000	1750528929.541464000	0.000000000	fd00::c409:e6ff:fe88:b284	44596	2600:1901:0:47fc::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	31	0x0800000000008000	1750528929.553373000	1750528929.553373000	0.000000000	fd00::c409:e6ff:fe88:b284	33908	2404:6800:4005:817::2008	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	33	0x0800000000008000	1750528929.594717000	1750528929.594717000	0.000000000	fd00::c409:e6ff:fe88:b284	49482	2404:6800:4005:827::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	34	0x0800000000008000	1750528929.594783000	1750528929.594783000	0.000000000	fd00::c409:e6ff:fe88:b284	46808	2404:6800:4005:80a::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	35	0x0800000000008000	1750528929.594827000	1750528929.594827000	0.000000000	fd00::c409:e6ff:fe88:b284	48766	2404:6800:4005:803::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	36	0x0800000000008000	1750528929.594867000	1750528929.594867000	0.000000000	fd00::c409:e6ff:fe88:b284	58510	2404:6800:4005:81b::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	38	0x0800000000008000	1750528929.685082000	1750528929.685082000	0.000000000	fd00::c409:e6ff:fe88:b284	49488	2404:6800:4005:827::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	39	0x0800000000008000	1750528929.685162000	1750528929.685162000	0.000000000	fd00::c409:e6ff:fe88:b284	46820	2404:6800:4005:80a::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	40	0x0800000000008000	1750528929.685201000	1750528929.685201000	0.000000000	fd00::c409:e6ff:fe88:b284	48774	2404:6800:4005:803::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	41	0x0800000000008000	1750528929.685235000	1750528929.685235000	0.000000000	fd00::c409:e6ff:fe88:b284	58518	2404:6800:4005:81b::201b	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	42	0x0400000000004000	1750528929.685272000	1750528929.792113000	0.106841000	10.0.2.100	46860	142.250.199.219	443	6	6	1828	0	1460	304.6667	643.9713	414699	1.851155	4.463239	56.15822	17109.54	0.09090909	0.1325898	0x1001	48753	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_1_4_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	42	0x0400000000004001	1750528929.731543000	1750528929.792103000	0.060560000	142.250.199.219	443	10.0.2.100	46860	6	5	1400	0	1400	280	626.0991	392000	2.236068	5	82.56275	23117.57	-0.09090909	-0.1325898	0x1001	1	39	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_1_5_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	43	0x0800000000008000	1750528930.156582000	1750528930.156582000	0.000000000	fd00::c409:e6ff:fe88:b284	50768	2606:4700::6812:562a	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	44	0x0800000000008000	1750528930.156649000	1750528930.156649000	0.000000000	fd00::c409:e6ff:fe88:b284	41924	2606:4700::6812:572a	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	46	0x0800000000008000	1750528930.380919000	1750528930.380919000	0.000000000	fd00::c409:e6ff:fe88:b284	50774	2606:4700::6812:562a	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	47	0x0800000000008000	1750528930.381265000	1750528930.381265000	0.000000000	fd00::c409:e6ff:fe88:b284	41940	2606:4700::6812:572a	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
