%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	9	0x0400000000004001	1736196041.632869000	1736196041.862508000	0.229639000	34.160.144.191	443	10.0.2.100	59230	6	11	3865	40	1480	351.3636	547.9261	300223	1.422111	4.600367	0	0.120556	0.02087627	0.03724173	0.001386947	2.454352	7.103534	47.90127	16830.77	-0.04347826	0.6014087	0x1001	1	212	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	10	0x0400000000004000	1736196041.596547000	1736196043.155853000	1.559306000	10.0.2.100	59236	34.160.144.191	443	6	26	2002	40	286	77	72.62107	5273.82	1.450204	4.866972	0	1.263457	0.05997331	0.2473649	0.06118941	4.979651	25.19202	16.67408	1283.905	-0.01886792	-0.7765625	0x1001	3322	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_25_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	10	0x0400000000004001	1736196041.627793000	1736196043.155849000	1.528056000	34.160.144.191	443	10.0.2.100	59236	6	27	15918	40	1480	589.5555	691.9766	478831.7	0.9133989	1.955374	0	1.263588	0.05659466	0.2434542	0.05926996	5.057935	26.02446	17.66951	10417.16	0.01886792	0.7765625	0x1001	1	220	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_11_27_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	5	0x0400000000004000	1736196039.626410000	1736196043.159430000	3.533020000	10.0.2.100	37420	149.112.112.112	443	6	36	6921	40	1500	192.25	324.8873	105551.8	2.148774	11.78614	0	1.555863	0.09813943	0.2862745	0.0819531	4.378999	22.74857	10.18958	1958.947	-0.01369863	0.1819657	0x1001	39529	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_20_34_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	5	0x0400000000004001	1736196039.655267000	1736196043.159427000	3.504160000	149.112.112.112	443	10.0.2.100	37420	6	37	4790	40	499	129.4595	138.9016	19293.65	1.494764	3.701217	0	1.555913	0.09470703	0.2848694	0.08115059	4.359998	22.72686	10.55888	1366.947	0.01369863	-0.1819657	0x1001	1	258	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_14_37_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	6	0x0400000000004000	1736196039.713380000	1736196043.167830000	3.454450000	10.0.2.100	46406	34.149.100.209	443	6	146	7895	40	557	54.07534	61.41818	3772.193	3.601011	33.46549	0	1.534251	0.02366062	0.1437309	0.02065856	8.776268	87.99481	42.26433	2285.458	-0.2997602	-0.9551765	0x1001	17242	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_18_145_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	6	0x0400000000004001	1736196039.760907000	1736196043.167826000	3.406919000	34.149.100.209	443	10.0.2.100	46406	6	271	344376	40	1480	1270.76	448.3793	201044	-0.6023282	4.924718	0	1.534318	0.01257166	0.1064645	0.01133469	11.97146	161.5799	79.54401	101081.4	0.2997602	0.9551765	0x1001	1	77	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_189_271_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	11	0x0400000000004000	1736196042.609699000	1736196043.167886000	0.558187000	10.0.2.100	39478	34.117.121.53	443	6	42	2536	40	292	60.38095	59.70103	3564.214	1.666386	7.172674	0	0.298503	0.01329017	0.04719049	0.002226942	5.708339	35.30633	75.2436	4543.28	-0.2566372	-0.9404163	0x1001	25250	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_8_41_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	11	0x0400000000004001	1736196042.649096000	1736196043.167884000	0.518788000	34.117.121.53	443	10.0.2.100	39478	6	71	82588	40	1480	1163.211	565.007	319232.8	0.07584618	2.902653	0	0.296527	0.007306873	0.03610938	0.001303888	7.630649	61.80712	136.8575	159194.1	0.2566372	0.9404163	0x1001	1	15	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_48_71_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	13	0x0400000000004000	1736196053.172697000	1736196053.425261000	0.252564000	10.0.2.100	60040	149.112.112.112	443	6	13	2653	40	1500	204.0769	463.9427	215242.8	2.163278	7.493391	0	0.134701	0.019428	0.03871079	0.001498525	2.659979	8.736829	51.4721	10504.27	0.08333334	-0.2752356	0x1001	45171	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	13	0x0400000000004001	1736196053.201982000	1736196053.425238000	0.223256000	149.112.112.112	443	10.0.2.100	60040	6	11	4668	40	1480	424.3636	623.472	388717.3	1.39187	3.561436	0	0.134836	0.020296	0.04154657	0.001726117	2.772956	8.685168	49.27079	20908.73	-0.08333334	0.2752356	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	15	0x0400000000004000	1736196053.396434000	1736196055.243799000	1.847365000	10.0.2.100	60958	34.149.100.209	443	6	12	964	40	258	80.33334	77.458	5999.742	1.530894	4.615983	0	1.636983	0.1539471	0.4749614	0.2255883	3.273301	11.18258	6.495739	521.8243	0.04347826	-0.6066911	0x1001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x041e	0x0000	0_1_1_4_11_0_0_0_0_0_1_0_0_0_0_0	1	5	0x0000011e	1460	0
B	15	0x0400000000004001	1736196053.434546000	1736196055.237234000	1.802688000	34.149.100.209	443	10.0.2.100	60958	6	11	3938	40	1480	358	627.6238	393911.7	1.172373	3.201588	0	1.684255	0.1638807	0.5140862	0.2642847	3.119087	10.19942	6.101999	2184.516	-0.04347826	0.6066911	0x1001	1	12	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_11_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	16	0x0400000000004000	1736196055.512570000	1736196055.512570000	0.000000000	10.0.2.100	55264	198.54.117.206	443	6	1	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	16	0x0400000000004001	1736196055.771230000	1736196055.771230000	0.000000000	198.54.117.206	443	10.0.2.100	55264	6	1	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
