%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	15	0x0800000000008000	1736195897.203357000	1736195897.203357000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56926	2a00:1148:db00::17	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	18	0x0800000000008000	1736195897.319799000	1736195897.319799000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	39514	2a00:1148:db00::28	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	20	0x0800000000008000	1736195897.330980000	1736195897.330980000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58614	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0800000000008000	1736195897.331113000	1736195897.331113000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58624	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	22	0x0800000000008000	1736195897.331222000	1736195897.331222000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58632	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	23	0x0800000000008000	1736195897.331324000	1736195897.331324000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58638	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	24	0x0800000000008000	1736195897.331471000	1736195897.331471000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58642	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	25	0x0800000000008000	1736195897.331570000	1736195897.331570000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58652	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	26	0x0800000000008000	1736195897.331667000	1736195897.331667000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58666	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	27	0x0800000000008000	1736195897.331763000	1736195897.331763000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58678	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	28	0x0800000000008000	1736195897.331854000	1736195897.331854000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58688	2a00:1148:1000:101:5:4:0:201	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	38	0x0800000000008000	1736195897.430841000	1736195897.430841000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56932	2a00:1148:db00::17	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	39	0x0800000000008000	1736195897.430879000	1736195897.430879000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56936	2a00:1148:db00::17	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	45	0x0800000000008000	1736195897.703660000	1736195897.703660000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56948	2a00:1148:db00::17	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	47	0x0800000000008000	1736195897.703867000	1736195897.703867000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56962	2a00:1148:db00::17	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	29	0x0400000000004000	1736195897.332599000	1736195898.171852000	0.839253000	10.0.2.100	47668	94.100.180.211	443	6	13	2143	0	1460	164.8462	464.8606	216095.4	2.20255	7.634218	15.48997	2553.461	0.04	-0.3661638	0x1001	44263	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	29	0x0400000000004001	1736195897.543080000	1736195898.171829000	0.628749000	94.100.180.211	443	10.0.2.100	47668	6	12	4619	0	1440	384.9167	667.006	444897.1	1.041482	2.586321	19.08552	7346.333	-0.04	0.3661638	0x1001	1	79	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	30	0x0400000000004000	1736195897.332803000	1736195898.228244000	0.895441000	10.0.2.100	47672	94.100.180.211	443	6	13	2143	0	1460	164.8462	464.8066	216045.2	2.204746	7.636129	14.51799	2393.234	0	-0.3661638	0x1001	7899	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	30	0x0400000000004001	1736195897.544522000	1736195898.228238000	0.683716000	94.100.180.211	443	10.0.2.100	47672	6	13	4619	0	1440	355.3077	647.5276	419292	1.063846	2.708488	19.01374	6755.729	0	0.3661638	0x1001	1	78	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	36	0x0400000000004000	1736195897.333671000	1736195898.237681000	0.904010000	10.0.2.100	47732	94.100.180.211	443	6	13	2143	0	1460	164.8462	464.8066	216045.2	2.204746	7.636129	14.38037	2370.549	0.04	-0.3661638	0x1001	19011	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	36	0x0400000000004001	1736195897.543769000	1736195898.237673000	0.693904000	94.100.180.211	443	10.0.2.100	47732	6	12	4619	0	1440	384.9167	667.3532	445360.3	1.05575	2.60774	17.29346	6656.541	-0.04	0.3661638	0x1001	1	76	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	34	0x0400000000004000	1736195897.333311000	1736195898.241725000	0.908414000	10.0.2.100	47700	94.100.180.211	443	6	14	2143	0	1460	153.0714	450.1512	202636.1	2.247877	8.064061	15.41148	2359.057	0.03703704	-0.3661638	0x1001	64567	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	34	0x0400000000004001	1736195897.546774000	1736195898.241720000	0.694946000	94.100.180.211	443	10.0.2.100	47700	6	13	4619	0	1440	355.3077	624.7781	390347.8	1.145206	2.946895	18.70649	6646.56	-0.03703704	0.3661638	0x1001	1	72	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	32	0x0400000000004000	1736195897.333071000	1736195898.244472000	0.911401000	10.0.2.100	47684	94.100.180.211	443	6	14	2143	0	1460	153.0714	450.1512	202636.1	2.247877	8.064061	15.36097	2351.325	0.03703704	-0.3661638	0x1001	55364	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	32	0x0400000000004001	1736195897.550882000	1736195898.244468000	0.693586000	94.100.180.211	443	10.0.2.100	47684	6	13	4619	0	1440	355.3077	624.7781	390347.8	1.145206	2.946895	18.74317	6659.592	-0.03703704	0.3661638	0x1001	1	71	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	31	0x0400000000004000	1736195897.332962000	1736195898.244577000	0.911615000	10.0.2.100	47680	94.100.180.211	443	6	13	2143	0	1460	164.8462	464.8066	216045.2	2.204746	7.636129	14.26041	2350.773	0	-0.3661638	0x1001	14939	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	31	0x0400000000004001	1736195897.550173000	1736195898.244575000	0.694402000	94.100.180.211	443	10.0.2.100	47680	6	13	4619	0	1440	355.3077	648.4203	420448.9	1.092774	2.832979	18.72115	6651.767	0	0.3661638	0x1001	1	69	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	37	0x0400000000004000	1736195897.333773000	1736195898.247396000	0.913623000	10.0.2.100	47746	94.100.180.211	443	6	12	2143	0	1460	178.5833	480.9707	231332.8	2.161349	7.212255	13.13452	2345.606	0	-0.3661638	0x1001	20117	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
