%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	10	0x0400000000004000	1736196041.596547000	1736196043.155853000	1.559306000	10.0.2.100	59236	34.160.144.191	443	6	26	942	0	246	36.23077	73.12687	5347.539	1.61816	5.306122	16.67408	604.1149	-0.01886792	-0.8805781	0x1001	3322	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_25_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	10	0x0400000000004001	1736196041.627793000	1736196043.155849000	1.528056000	34.160.144.191	443	10.0.2.100	59236	6	27	14834	0	1440	549.4074	692.1498	479071.3	0.9155121	1.958564	17.66951	9707.759	0.01886792	0.8805781	0x1001	1	220	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_11_27_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	5	0x0400000000004000	1736196039.626410000	1736196043.159430000	3.533020000	10.0.2.100	37420	149.112.112.112	443	6	36	5461	0	1460	151.6944	325.4865	105941.5	2.202232	11.99493	10.18958	1545.703	-0.01369863	0.2458081	0x1001	39529	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_20_34_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	5	0x0400000000004001	1736196039.655267000	1736196043.159427000	3.504160000	149.112.112.112	443	10.0.2.100	37420	6	37	3306	0	459	89.35135	138.9844	19316.66	1.499806	3.709912	10.55888	943.4501	0.01369863	-0.2458081	0x1001	1	258	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_14_37_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	6	0x0400000000004000	1736196039.713380000	1736196043.167830000	3.454450000	10.0.2.100	46406	34.149.100.209	443	6	146	2035	0	517	13.93836	61.55377	3788.867	3.85751	35.6582	42.26433	589.0952	-0.2997602	-0.9878713	0x1001	17242	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_18_145_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	6	0x0400000000004001	1736196039.760907000	1736196043.167826000	3.406919000	34.149.100.209	443	10.0.2.100	46406	6	271	333532	0	1440	1230.745	448.4224	201082.6	-0.6015099	4.923974	79.54401	97898.42	0.2997602	0.9878713	0x1001	1	77	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_189_271_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	11	0x0400000000004000	1736196042.609699000	1736196043.167886000	0.558187000	10.0.2.100	39478	34.117.121.53	443	6	42	836	0	252	19.90476	59.9555	3594.662	1.886962	7.931134	75.2436	1497.706	-0.2566372	-0.9792504	0x1001	25250	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_8_41_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	11	0x0400000000004001	1736196042.649096000	1736196043.167884000	0.518788000	34.117.121.53	443	10.0.2.100	39478	6	71	79744	0	1440	1123.155	565.1483	319392.6	0.07791824	2.904101	136.8575	153712.1	0.2566372	0.9792504	0x1001	1	15	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_48_71_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	13	0x0400000000004000	1736196053.172697000	1736196053.425261000	0.252564000	10.0.2.100	60040	149.112.112.112	443	6	13	2113	0	1460	162.5385	465.0355	216258	2.202451	7.619564	51.4721	8366.196	0.08333334	-0.3331229	0x1001	45171	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	13	0x0400000000004001	1736196053.201982000	1736196053.425238000	0.223256000	149.112.112.112	443	10.0.2.100	60040	6	11	4224	0	1440	384	623.7816	389103.5	1.394842	3.566257	49.27079	18919.98	-0.08333334	0.3331229	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	15	0x0400000000004000	1736196053.396434000	1736196055.243799000	1.847365000	10.0.2.100	60958	34.149.100.209	443	6	12	464	0	218	38.66667	78.52573	6166.291	1.758945	5.191332	6.495739	251.1685	0.04347826	-0.7655382	0x1001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x041e	0x0000	0_1_1_4_11_0_0_0_0_0_1_0_0_0_0_0	1	5	0x0000011e	1460	0
B	15	0x0400000000004001	1736196053.434546000	1736196055.237234000	1.802688000	34.149.100.209	443	10.0.2.100	60958	6	11	3494	0	1440	317.6364	627.9499	394321.1	1.177479	3.21052	6.101999	1938.217	-0.04347826	0.7655382	0x1001	1	12	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_11_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	16	0x0400000000004000	1736196055.512570000	1736196055.512570000	0.000000000	10.0.2.100	55264	198.54.117.206	443	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	16	0x0400000000004001	1736196055.771230000	1736196055.771230000	0.000000000	198.54.117.206	443	10.0.2.100	55264	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
A	17	0x0400000000004000	1736196055.762680000	1736196055.762680000	0.000000000	10.0.2.100	55272	198.54.117.206	443	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	17	0x0400000000004001	1736196056.021177000	1736196056.021177000	0.000000000	198.54.117.206	443	10.0.2.100	55272	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
A	18	0x0400000000004000	1736196056.021394000	1736196056.021394000	0.000000000	10.0.2.100	55282	198.54.117.206	443	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	18	0x0400000000004001	1736196056.279368000	1736196056.279368000	0.000000000	198.54.117.206	443	10.0.2.100	55282	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
A	19	0x0800000000008000	1736196056.225866000	1736196056.225866000	0.000000000	fd00::40da:8bff:fefd:c741	35606	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0400000000004000	1736196056.324635000	1736196056.537277000	0.212642000	10.0.2.100	42252	34.160.144.191	443	6	12	462	0	216	38.5	77.97163	6079.575	1.752263	5.154198	56.43288	2172.666	0.04347826	-0.7620397	0x1001	36213	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	21	0x0400000000004001	1736196056.354171000	1736196056.537267000	0.183096000	34.160.144.191	443	10.0.2.100	42252	6	11	3421	0	1440	311	630.2986	397276.4	1.151474	3.179792	60.07777	18684.19	-0.04347826	0.7620397	0x1001	1	11	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	12	0x0400000000004000	1736196053.172671000	1736196057.012629000	3.839958000	10.0.2.100	60038	149.112.112.112	443	6	26	3560	0	1460	136.9231	336.8924	113496.5	2.875504	13.84135	6.770907	927.0935	0.04	-0.2376874	0x1001	12521	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_13_24_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	12	0x0400000000004001	1736196053.201536000	1736196057.012627000	3.811091000	149.112.112.112	443	10.0.2.100	60038	6	24	5780	0	1440	240.8333	469.6212	220544.1	1.404703	5.168715	6.29741	1516.626	-0.04	0.2376874	0x1001	1	255	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_7_24_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	14	0x0400000000004000	1736196053.396395000	1736196057.021226000	3.624831000	10.0.2.100	60944	34.149.100.209	443	6	152	1904	0	263	12.52632	43.60648	1901.525	1.51094	9.40484	41.93299	525.2659	-0.2830189	-0.9887429	0x1001	39732	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_17_151_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	14	0x0400000000004001	1736196053.433330000	1736196057.021220000	3.587890000	34.149.100.209	443	10.0.2.100	60944	6	272	336373	0	1440	1236.665	442.0369	195396.7	0.7407507	3.564689	75.81058	93752.32	0.2830189	0.9887429	0x1001	1	52	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_207_272_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	20	0x0400000000004000	1736196056.225978000	1736196057.024480000	0.798502000	10.0.2.100	42248	34.160.144.191	443	6	28	988	0	246	35.28571	70.80576	5013.456	1.718987	5.628021	35.06566	1237.317	-0.03448276	-0.8754727	0x1001	39825	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_27_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	20	0x0400000000004001	1736196056.267168000	1736196057.024475000	0.757307000	34.160.144.191	443	10.0.2.100	42248	6	30	14880	0	1440	496	649.9733	422465.3	0.8611253	2.092048	39.61406	19648.57	0.03448276	0.8754727	0x1001	1	11	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_14_30_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	22	0x0400000000004000	1736196056.997080000	1736196057.058461000	0.061381000	10.0.2.100	42264	34.160.144.191	443	6	5	216	0	216	43.2	104.648	10951.2	1.66611	3.689121	81.45843	3519.004	0.1111111	-0.7326733	0x1001	24355	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_1_3_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	22	0x0400000000004001	1736196057.027036000	1736196057.058421000	0.031385000	34.160.144.191	443	10.0.2.100	42264	6	4	1400	0	1400	350	700	490000	2	4	127.4494	44607.3	-0.1111111	0.7326733	0x1001	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_1_4_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
