%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	276	0x0400000000004001	1750528850.673032000	1750528851.093794000	0.420762000	45.60.121.229	443	10.0.2.100	40490	6	8	4902	40	1480	612.75	757.6305	574003.9	1.275211	2.444195	0	0.213683	0.05259525	0.1009294	0.01018674	1.780133	3.59762	19.01312	11650.29	-0.1111111	0.3669827	0x1001	1	18	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_2_8_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	281	0x0800000000008000	1750528851.653510000	1750528851.653510000	0.000000000	fd00::2401:37ff:fe8e:decb	36132	2a02:6ea0:d600::14	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	282	0x0800000000008000	1750528851.653564000	1750528851.653564000	0.000000000	fd00::2401:37ff:fe8e:decb	41114	2a02:6ea0:d600::13	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	284	0x0800000000008000	1750528851.876108000	1750528851.876108000	0.000000000	fd00::2401:37ff:fe8e:decb	47768	2404:6800:4005:80a::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	285	0x0800000000008000	1750528851.876462000	1750528851.876462000	0.000000000	fd00::2401:37ff:fe8e:decb	49628	2404:6800:4005:827::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	286	0x0800000000008000	1750528851.877860000	1750528851.877860000	0.000000000	fd00::2401:37ff:fe8e:decb	40476	2404:6800:4005:803::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	287	0x0800000000008000	1750528851.878171000	1750528851.878171000	0.000000000	fd00::2401:37ff:fe8e:decb	52368	2404:6800:4005:81b::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	289	0x0800000000008000	1750528852.339172000	1750528852.339172000	0.000000000	fd00::2401:37ff:fe8e:decb	44686	2001:4860:4860::8844	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	290	0x0800000000008000	1750528852.339548000	1750528852.339548000	0.000000000	fd00::2401:37ff:fe8e:decb	51616	2001:4860:4860::8888	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	291	0x0800000000008000	1750528852.339942000	1750528852.339942000	0.000000000	fd00::2401:37ff:fe8e:decb	44700	2001:4860:4860::8844	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	293	0x0800000000008000	1750528852.340184000	1750528852.340184000	0.000000000	fd00::2401:37ff:fe8e:decb	51628	2001:4860:4860::8888	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	295	0x0800000000008000	1750528853.491238000	1750528853.491238000	0.000000000	fd00::2401:37ff:fe8e:decb	56824	2001:ee0:3241:8082::1e80	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	296	0x0800000000008000	1750528853.491453000	1750528853.491453000	0.000000000	fd00::2401:37ff:fe8e:decb	60278	2001:ee0:3241:8081::1e80	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	304	0x0800000000008000	1750528854.846435000	1750528854.846435000	0.000000000	fd00::2401:37ff:fe8e:decb	40668	2606:4700:4400::6812:28ee	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	305	0x0800000000008000	1750528854.846492000	1750528854.846492000	0.000000000	fd00::2401:37ff:fe8e:decb	59908	2606:4700:4400::ac40:9312	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	309	0x0800000000008000	1750528855.793033000	1750528855.793033000	0.000000000	fd00::2401:37ff:fe8e:decb	40670	2606:4700:4400::6812:28ee	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	310	0x0800000000008000	1750528855.793125000	1750528855.793125000	0.000000000	fd00::2401:37ff:fe8e:decb	59914	2606:4700:4400::ac40:9312	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	277	0x0400000000004000	1750528850.467982000	1750528856.100307000	5.632325000	10.0.2.100	40498	45.60.121.229	443	6	13	2992	40	1500	230.1538	463.8522	215158.8	2.209758	7.469976	0	5.000812	0.4332558	1.376017	1.893422	3.57745	12.86318	2.308105	531.2193	-0.1034483	-0.3131313	0x1001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_6_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	277	0x0400000000004001	1750528850.673293000	1750528856.100360000	5.427067000	45.60.121.229	443	10.0.2.100	40498	6	16	5720	40	1480	357.5	616.0962	379574.5	0.995657	2.953154	0	4.997841	0.3391917	1.250423	1.563558	3.909302	15.53465	2.948186	1053.976	0.1034483	0.3131313	0x1001	1	2368	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_4_16_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	312	0x0800000000008000	1750528856.452482000	1750528856.452482000	0.000000000	fd00::2401:37ff:fe8e:decb	47778	2404:6800:4005:80a::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	313	0x0800000000008000	1750528856.452656000	1750528856.452656000	0.000000000	fd00::2401:37ff:fe8e:decb	49630	2404:6800:4005:827::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
