%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0800000000008000	1750528925.635355000	1750528925.635355000	0.000000000	fd00::c409:e6ff:fe88:b284	48760	2001:4860:4860::8844	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	2	0x0800000000008000	1750528925.635377000	1750528925.635377000	0.000000000	fd00::c409:e6ff:fe88:b284	48774	2001:4860:4860::8844	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	3	0x0800000000008000	1750528925.635417000	1750528925.635417000	0.000000000	fd00::c409:e6ff:fe88:b284	48780	2001:4860:4860::8844	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	4	0x0800000000008000	1750528925.635592000	1750528925.635592000	0.000000000	fd00::c409:e6ff:fe88:b284	41532	2001:4860:4860::8888	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	5	0x0800000000008000	1750528925.635612000	1750528925.635612000	0.000000000	fd00::c409:e6ff:fe88:b284	41546	2001:4860:4860::8888	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	6	0x0800000000008000	1750528925.635629000	1750528925.635629000	0.000000000	fd00::c409:e6ff:fe88:b284	41558	2001:4860:4860::8888	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	7	0x0400000000004000	1750528925.635713000	1750528926.783158000	1.147445000	10.0.2.100	60458	8.8.8.8	443	6	10	2214	40	1500	221.4	517.1353	267428.9	2.069389	6.272861	0	0.927895	0.1147445	0.2914338	0.08493364	2.982012	9.29424	8.715015	1929.504	0.05263158	-0.4261275	0x1001	847	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_2_8_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	7	0x0400000000004001	1750528925.695043000	1750528926.783149000	1.088106000	8.8.8.8	443	10.0.2.100	60458	6	9	5502	40	1480	611.3333	730.0621	532990.8	1.183978	2.4739	0	0.928718	0.1209007	0.3097734	0.09595957	2.819298	8.339639	8.271253	5056.493	-0.05263158	0.4261275	0x1001	1	8	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_2_9_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	9	0x0400000000004000	1750528925.635751000	1750528926.786525000	1.150774000	10.0.2.100	60482	8.8.8.8	443	6	10	2278	40	1500	227.8	518.4547	268795.2	2.044844	6.219841	0	0.925113	0.1150774	0.2904873	0.08438288	2.97879	9.280712	8.689803	1979.537	0.05263158	-0.4143206	0x1001	469	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_2_8_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	9	0x0400000000004001	1750528925.697983000	1750528926.786514000	1.088531000	8.8.8.8	443	10.0.2.100	60482	6	9	5501	40	1480	611.2222	729.9283	532795.4	1.184305	2.474982	0	0.925227	0.1209479	0.3085224	0.0951861	2.820555	8.343439	8.268023	5053.6	-0.05263158	0.4143206	0x1001	1	8	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_2_9_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
