%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	13	0x0800000000008000	1736194942.614537000	1736194942.614537000	0.000000000	fd00::58c1:98ff:fe26:e65c	51064	2404:6800:4005:81f::200a	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	15	0x0800000000008000	1736194942.650680000	1736194942.650680000	0.000000000	fd00::58c1:98ff:fe26:e65c	50726	2404:6800:4005:827::2003	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	17	0x0800000000008000	1736194942.652377000	1736194942.652377000	0.000000000	fd00::58c1:98ff:fe26:e65c	49644	2404:6800:4005:824::2008	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	19	0x0800000000008000	1736194942.678138000	1736194942.678138000	0.000000000	fd00::58c1:98ff:fe26:e65c	45554	2620:1ec:bdf::73	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0800000000008000	1736194942.763260000	1736194942.763260000	0.000000000	fd00::58c1:98ff:fe26:e65c	36998	2404:6800:4005:813::200e	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	29	0x0800000000008000	1736194943.357898000	1736194943.357898000	0.000000000	fd00::58c1:98ff:fe26:e65c	51534	2404:6800:4005:826::2004	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	30	0x0800000000008000	1736194943.357933000	1736194943.357933000	0.000000000	fd00::58c1:98ff:fe26:e65c	51550	2404:6800:4005:826::2004	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	31	0x0800000000008000	1736194943.357959000	1736194943.357959000	0.000000000	fd00::58c1:98ff:fe26:e65c	51558	2404:6800:4005:826::2004	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	35	0x0800000000008000	1736194943.886468000	1736194943.886468000	0.000000000	fd00::58c1:98ff:fe26:e65c	37000	2404:6800:4005:813::200e	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	32	0x0400000000004000	1736194943.358036000	1736194944.147544000	0.789508000	10.0.2.100	59486	142.250.197.4	443	6	14	2098	0	1460	149.8571	450.596	203036.8	2.241299	8.031488	17.73256	2657.351	0.03703704	-0.4710702	0x1001	55216	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
