%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	9	0x0400000000004001	1736194941.203319000	1736194941.524835000	0.321516000	34.160.144.191	443	10.0.2.100	42326	6	11	3865	40	1480	351.3636	629.9791	396873.6	1.146305	3.170983	0	0.191994	0.02922873	0.05859335	0.003433181	2.631006	8.064571	34.21292	12021.17	-0.04347826	0.6014087	0x1001	1	22	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	13	0x0800000000008000	1736194942.614537000	1736194942.614537000	0.000000000	fd00::58c1:98ff:fe26:e65c	51064	2404:6800:4005:81f::200a	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	15	0x0800000000008000	1736194942.650680000	1736194942.650680000	0.000000000	fd00::58c1:98ff:fe26:e65c	50726	2404:6800:4005:827::2003	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	17	0x0800000000008000	1736194942.652377000	1736194942.652377000	0.000000000	fd00::58c1:98ff:fe26:e65c	49644	2404:6800:4005:824::2008	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	19	0x0800000000008000	1736194942.678138000	1736194942.678138000	0.000000000	fd00::58c1:98ff:fe26:e65c	45554	2620:1ec:bdf::73	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0800000000008000	1736194942.763260000	1736194942.763260000	0.000000000	fd00::58c1:98ff:fe26:e65c	36998	2404:6800:4005:813::200e	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	29	0x0800000000008000	1736194943.357898000	1736194943.357898000	0.000000000	fd00::58c1:98ff:fe26:e65c	51534	2404:6800:4005:826::2004	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	30	0x0800000000008000	1736194943.357933000	1736194943.357933000	0.000000000	fd00::58c1:98ff:fe26:e65c	51550	2404:6800:4005:826::2004	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	31	0x0800000000008000	1736194943.357959000	1736194943.357959000	0.000000000	fd00::58c1:98ff:fe26:e65c	51558	2404:6800:4005:826::2004	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	35	0x0800000000008000	1736194943.886468000	1736194943.886468000	0.000000000	fd00::58c1:98ff:fe26:e65c	37000	2404:6800:4005:813::200e	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	32	0x0400000000004000	1736194943.358036000	1736194944.147544000	0.789508000	10.0.2.100	59486	142.250.197.4	443	6	14	2678	40	1500	191.2857	449.5936	202134.4	2.200243	7.894839	0	0.658438	0.05639343	0.1777859	0.03160784	3.466106	12.7189	17.73256	3391.986	0.03703704	-0.4073254	0x1001	55216	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	32	0x0400000000004001	1736194943.388901000	1736194944.147537000	0.758636000	142.250.197.4	443	10.0.2.100	59486	6	13	6359	40	1480	489.1538	666.4811	444197.1	0.9227321	2.550699	0	0.658607	0.05835662	0.1857197	0.03449182	3.321583	11.73838	17.13602	8382.149	-0.03703704	0.4073254	0x1001	1	92	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_13_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	33	0x0400000000004000	1736194943.358063000	1736194944.151607000	0.793544000	10.0.2.100	59502	142.250.197.4	443	6	14	2678	40	1500	191.2857	449.5936	202134.4	2.200243	7.894839	0	0.662309	0.05668171	0.1788434	0.03198496	3.467201	12.72502	17.64237	3374.734	0.07692308	-0.4047566	0x1001	61071	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	33	0x0400000000004001	1736194943.389254000	1736194944.151602000	0.762348000	142.250.197.4	443	10.0.2.100	59502	6	12	6320	40	1480	526.6667	679.0654	461129.8	0.9755993	2.542178	0	0.663429	0.063529	0.1938799	0.03758942	3.238812	11.03393	15.74084	8290.177	-0.07692308	0.4047566	0x1001	1	101	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	38	0x0800000000008000	1736194944.365448000	1736194944.365448000	0.000000000	fd00::58c1:98ff:fe26:e65c	37004	2404:6800:4005:813::200e	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	34	0x0400000000004000	1736194943.358121000	1736194945.486735000	2.128614000	10.0.2.100	59510	142.250.197.4	443	6	67	5786	40	1500	86.35821	218.1433	47586.49	3.989282	29.79102	0	1.112117	0.03177036	0.1579072	0.0249347	5.949483	38.53941	31.47588	2718.201	-0.2342857	-0.9103904	0x1001	8257	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_14_66_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
