%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	10	0x0400000000004000	1736194474.423775000	1736194474.874056000	0.450281000	10.0.2.100	36042	34.160.144.191	443	6	12	962	40	256	80.16666	76.90453	5914.306	1.523091	4.577805	0	0.2429	0.03752341	0.07161292	0.005128411	2.542203	7.832154	26.65003	2136.444	0.04347826	-0.6014087	0x1001	18858	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	10	0x0400000000004001	1736194474.464980000	1736194474.874047000	0.409067000	34.160.144.191	443	10.0.2.100	36042	6	11	3865	40	1480	351.3636	629.9791	396873.6	1.146305	3.170983	0	0.283292	0.03718791	0.08546107	0.007303595	2.899085	9.254506	26.89046	9448.33	-0.04347826	0.6014087	0x1001	1	13	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	11	0x0400000000004000	1736194475.035060000	1736194476.023897000	0.988837000	10.0.2.100	39614	183.84.7.241	443	6	13	3051	40	1500	234.6923	469.9606	220863	2.08291	7.127985	0	0.249248	0.07606438	0.1311523	0.01720092	0.9455536	1.993927	13.14676	3085.443	0	-0.315996	0x1001	43322	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	11	0x0400000000004001	1736194475.281114000	1736194476.023891000	0.742777000	183.84.7.241	443	10.0.2.100	39614	6	13	5870	40	1480	451.5385	644.155	414935.7	1.191346	2.947305	0	0.249175	0.0571367	0.1126489	0.01268977	1.675349	3.515589	17.50189	7902.776	0	0.315996	0x1001	1	278	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	13	0x0800000000008000	1736194476.614348000	1736194476.614348000	0.000000000	fd00::48f:b5ff:fed5:c28	38036	2600:1417:5e::1731:3caa	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	15	0x0800000000008000	1736194477.831982000	1736194477.831982000	0.000000000	fd00::48f:b5ff:fed5:c28	51686	2a04:4e42:200::347	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	16	0x0800000000008000	1736194477.832047000	1736194477.832047000	0.000000000	fd00::48f:b5ff:fed5:c28	41040	2a04:4e42:400::729	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	17	0x0800000000008000	1736194477.832098000	1736194477.832098000	0.000000000	fd00::48f:b5ff:fed5:c28	49994	2a04:4e42::347	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	18	0x0800000000008000	1736194477.832140000	1736194477.832140000	0.000000000	fd00::48f:b5ff:fed5:c28	59640	2a04:4e42:200::729	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0800000000008000	1736194478.072727000	1736194478.072727000	0.000000000	fd00::48f:b5ff:fed5:c28	55566	2a01:53c0:ffed::44	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	22	0x0800000000008000	1736194478.072755000	1736194478.072755000	0.000000000	fd00::48f:b5ff:fed5:c28	55582	2a01:53c0:ffed::44	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	30	0x0800000000008000	1736194478.179510000	1736194478.179510000	0.000000000	fd00::48f:b5ff:fed5:c28	49088	2600:1417:5e::1731:3c7f	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	25	0x0400000000004000	1736194478.072862000	1736194478.283031000	0.210169000	10.0.2.100	45552	138.113.53.41	443	6	13	2660	40	1500	204.6154	464.1509	215436.1	2.158272	7.482252	0	0.080864	0.01616685	0.02690333	0.0007237892	1.655154	4.158895	61.85498	12656.48	0.04	-0.273621	0x1001	51038	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	25	0x0400000000004001	1736194478.112539000	1736194478.283024000	0.170485000	138.113.53.41	443	10.0.2.100	45552	6	12	4664	40	1480	388.6667	623.4175	388649.4	1.254492	3.315932	0	0.051055	0.01420708	0.02056874	0.0004230729	1.485521	2.775874	70.38742	27357.24	-0.04	0.273621	0x1001	1	100	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_2_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	26	0x0400000000004000	1736194478.072886000	1736194478.291962000	0.219076000	10.0.2.100	45556	138.113.53.41	443	6	13	2660	40	1500	204.6154	464.1509	215436.1	2.158272	7.482252	0	0.073797	0.016852	0.02544819	0.0006476103	1.547389	3.763327	59.34014	12141.91	0.04	-0.2765842	0x1001	34314	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	26	0x0400000000004001	1736194478.107005000	1736194478.291956000	0.184951000	138.113.53.41	443	10.0.2.100	45556	6	12	4694	40	1480	391.1667	621.9507	386822.6	1.267553	3.344061	0	0.084977	0.01541258	0.02684059	0.0007204171	2.156684	5.824757	64.88205	25379.69	-0.04	0.2765842	0x1001	1	138	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	28	0x0400000000004000	1736194478.072959000	1736194478.307635000	0.234676000	10.0.2.100	45576	138.113.53.41	443	6	13	2660	40	1500	204.6154	464.1509	215436.1	2.158272	7.482252	0	0.081075	0.018052	0.0273478	0.000747902	1.621174	4.060934	55.39552	11334.78	0.04	-0.273621	0x1001	30013	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	28	0x0400000000004001	1736194478.108465000	1736194478.307631000	0.199166000	138.113.53.41	443	10.0.2.100	45576	6	12	4664	40	1480	388.6667	623.4175	388649.4	1.254492	3.315932	0	0.088489	0.01659717	0.0280507	0.000786842	2.111721	5.628981	60.25125	23417.65	-0.04	0.273621	0x1001	1	168	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_2_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	23	0x0400000000004000	1736194478.072810000	1736194478.322915000	0.250105000	10.0.2.100	45524	138.113.53.41	443	6	13	2660	40	1500	204.6154	464.1509	215436.1	2.158272	7.482252	0	0.077628	0.01923884	0.02806994	0.0007879217	1.448075	3.262551	51.97817	10635.53	0.04	-0.273621	0x1001	6936	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	23	0x0400000000004001	1736194478.109398000	1736194478.322910000	0.213512000	138.113.53.41	443	10.0.2.100	45524	6	12	4664	40	1480	388.6667	623.4175	388649.4	1.254492	3.315932	0	0.097408	0.01779267	0.03035083	0.0009211728	2.200895	6.068529	56.20293	21844.21	-0.04	0.273621	0x1001	1	160	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_2_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	32	0x0800000000008000	1736194478.403948000	1736194478.403948000	0.000000000	fd00::48f:b5ff:fed5:c28	54776	2404:6800:4003:c00::61	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	27	0x0400000000004000	1736194478.072907000	1736194478.665990000	0.593083000	10.0.2.100	45572	138.113.53.41	443	6	13	2660	40	1500	204.6154	464.1509	215436.1	2.158272	7.482252	0	0.391133	0.04562176	0.1084802	0.01176794	3.133209	10.7646	21.91936	4485.038	0.04	-0.273621	0x1001	2866	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	27	0x0400000000004001	1736194478.108265000	1736194478.665964000	0.557699000	138.113.53.41	443	10.0.2.100	45572	6	12	4664	40	1480	388.6667	623.4175	388649.4	1.254492	3.315932	0	0.43858	0.04647492	0.1265016	0.01600264	3.22565	10.96621	21.51698	8362.934	-0.04	0.273621	0x1001	1	1167	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_2_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	37	0x0800000000008000	1736194479.087179000	1736194479.087179000	0.000000000	fd00::48f:b5ff:fed5:c28	41398	2404:6800:4001:807::2004	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	41	0x0800000000008000	1736194479.528232000	1736194479.528232000	0.000000000	fd00::48f:b5ff:fed5:c28	51600	2404:6800:4003:c04::5e	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
