flowInd,time_first,duration,pkts_aggr,bytes_aggr,pkts_ab,pkts_ba,bytes_ab,bytes_ba,mean_Bpp_ab,mean_Bpp_ba,mean_pps_ab,mean_pps_ba,mean_pkts_asm,mean_bytes_asm,time_last,block_local,block_label,label,family,mdoh,session,block,spills_into_next_block,next_block_label,label_contaminated
285,1790002664.657091,0.9426701068878174,112,22168,52,60,3636,18532,69.92307692307692,308.8666666666667,55.162457810055784,63.648989780833595,0.5357142857142857,0.8359797906892819,1790002665.599761,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
286,1790002666.664433,1.319403886795044,100,6956,52,48,4792,2164,92.15384615384616,45.083333333333336,39.41173777069346,36.38006563448628,0.48,0.3110983323749281,1790002667.983837,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
287,1790002668.81011,4.834659814834595,212,11644,112,100,6836,4808,61.035714285714285,48.08,23.166055997640402,20.683978569321788,0.4716981132075472,0.4129165235314325,1790002673.64477,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
288,1790002674.205742,1.090475082397461,132,22056,64,68,3644,18412,56.9375,270.7647058823529,58.69001596927183,62.35814196735132,0.5151515151515151,0.8347841857091041,1790002675.296217,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
289,1790002675.65981,2.8462469577789307,160,9592,88,72,6092,3500,69.22727272727273,48.611111111111114,30.917907442814034,25.296469725938753,0.45,0.3648874061718098,1790002678.506057,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
290,1790002678.854138,1.2676610946655273,96,6996,52,44,4780,2216,91.92307692307692,50.36363636363637,41.020427477677075,34.70959248111137,0.4583333333333333,0.31675242995997716,1790002680.121799,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
291,1790002680.327495,2.6354219913482666,188,25032,96,92,4900,20132,51.041666666666664,218.82608695652175,36.42680387245572,34.90902037777006,0.48936170212765956,0.8042505592841164,1790002682.962917,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
292,1790002683.304963,3.976533889770508,164,9344,88,76,5988,3356,68.04545454545455,44.1578947368421,22.129825229549,19.112121789155953,0.4634146341463415,0.3591609589041096,1790002687.281497,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
293,1790002687.539975,5.118503093719482,220,12312,124,96,7176,5136,57.87096774193548,53.5,24.225832773677674,18.75548343768594,0.43636363636363634,0.4171539961013645,1790002692.658478,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
294,1790002692.853667,8.636628866195679,400,34472,220,180,9260,25212,42.09090909090909,140.06666666666666,25.472901916752978,20.84146520461607,0.45,0.7313761893710837,1790002701.490296,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
295,1790002702.367794,22.79983401298523,664,31852,384,280,16096,15756,41.916666666666664,56.27142857142857,16.842227876803832,12.28079116016946,0.42168674698795183,0.49466281552178826,1790002725.167628,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
296,1790002726.121395,1.6818528175354004,124,7704,64,60,5204,2500,81.3125,41.666666666666664,38.05327037700366,35.67494097844094,0.4838709677419355,0.3245067497403946,1790002727.803248,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
297,1790002728.511573,2.751518964767456,180,24480,92,88,4852,19628,52.73913043478261,223.04545454545453,33.43607700984004,31.98233453115134,0.4888888888888889,0.8017973856209151,1790002731.263092,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
298,1790002732.232113,4.881129026412964,184,11392,100,84,6452,4940,64.52,58.80952380952381,20.487063435298666,17.20913328565088,0.45652173913043476,0.4336376404494382,1790002737.113242,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
299,1790002737.35931,10.086578130722046,336,17296,192,144,9608,7688,50.041666666666664,53.388888888888886,19.035196824104283,14.276397618078212,0.42857142857142855,0.44449583718778907,1790002747.445888,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
300,1790002748.064799,4.68963885307312,224,26356,120,104,5700,20656,47.5,198.6153846153846,25.588324337888835,22.176547759503656,0.4642857142857143,0.783730459857338,1790002752.754438,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
301,1790002753.219122,4.861577987670898,204,11844,108,96,6804,5040,63.0,52.5,22.215009257054213,19.746674895159302,0.47058823529411764,0.425531914893617,1790002758.0807,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
302,1790002758.029727,1.5720279216766357,116,7608,56,60,5172,2436,92.35714285714286,40.6,35.62277694169298,38.167261008956764,0.5172413793103449,0.32018927444794953,1790002759.601755,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
303,1790002760.420184,1.328390121459961,144,22896,72,72,4076,18820,56.611111111111114,261.3888888888889,54.20094506640017,54.20094506640017,0.5,0.8219776380153738,1790002761.748574,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
304,1790002761.996329,6.188536882400513,208,13808,116,92,7244,6564,62.44827586206897,71.34782608695652,18.744333629147572,14.866195636910144,0.4423076923076923,0.4753765932792584,1790002768.184866,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
305,1790002768.476512,4.075437068939209,196,11220,104,92,6748,4472,64.88461538461539,48.608695652173914,25.518735350530157,22.574265887007446,0.46938775510204084,0.39857397504456327,1790002772.551949,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
306,1790002773.330869,2.952388048171997,156,23884,80,76,4436,19448,55.45,255.89473684210526,27.09670906896296,25.74187361551481,0.48717948717948717,0.8142689666722492,1790002776.283257,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
307,1790002777.210325,7.978321075439453,240,14028,128,112,7600,6428,59.375,57.392857142857146,16.043475662321555,14.03804120453136,0.4666666666666667,0.45822640433418876,1790002785.188646,10,benign,benign,benign,0,quad9_1,quad9_1_10,False,benign,False
308,1790002865.839321,3.178838014602661,168,9972,88,80,6016,3956,68.36363636363636,49.45,27.683071485792446,25.16642862344768,0.47619047619047616,0.39671079021259525,1790002869.018159,11,benign,benign,benign,0,quad9_1,quad9_1_11,False,dga,False
