%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	8	0x0400100000004000	1789909341.227485000	1789909341.360766000	0.133281000	192.168.64.3	55906	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	60.02356	0	0.3333333	0	0x1001	0	3	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	8	0x0400100000004001	1789909341.360422000	1789909341.360543000	0.000121000	8.8.8.8	443	192.168.64.3	55906	6	4	0	0	0	0	0	0	0	0	33057.85	0	-0.3333333	0	0x1001	0	0	115	115	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	9	0x0400100000004000	1789909341.229703000	1789909403.301990000	62.072287000	192.168.64.3	55913	8.8.8.8	443	6	1376	49628	0	775	36.06686	47.97274	2301.384	7.379728	115.8498	22.1677	799.5194	-0.2537961	-0.3660032	0x5201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_988_1372_0_0_0_4_0_0_0_0_0_0_0	32	108	0x0000003e	1460	256
B	9	0x0400100000004001	1789909341.351459000	1789909403.301757000	61.950298000	8.8.8.8	443	192.168.64.3	55913	6	2312	106928	0	648	46.24913	60.35732	3643.006	1.627449	12.65322	37.32024	1726.029	0.2537961	0.3660032	0x1201	0	4768	115	115	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	4_4_0_1332_2312_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	10	0x0400100000004000	1789909403.438585000	1789909582.652412000	179.213827000	192.168.64.3	55917	8.8.8.8	443	6	2252	79416	0	460	35.26465	29.88755	893.2656	3.55048	59.60107	12.566	443.1355	-0.2606697	-0.4033089	0x5201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1652_2248_0_0_0_0_0_0_0_0_0_0_0	20	72	0x0000003e	1460	256
B	10	0x0400120000004001	1789909403.510246000	1789909582.728312000	179.218066000	8.8.8.8	443	192.168.64.3	55917	6	3840	186772	0	1412	48.63854	95.85659	9188.486	1.457941	46.70485	21.42641	1042.149	0.2606697	0.4033089	0x1201	1	15092	114	114	0	0x60	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2204_3840_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	11	0x0400100000004000	1789909583.340594000	1789909721.509363000	138.168769000	192.168.64.3	55917	8.8.8.8	443	6	2904	97816	0	73	33.6832	22.3195	498.1599	-0.470941	1.993356	21.01777	707.9459	-0.2662961	-0.3258718	0x5001	0	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_2128_2904_0_0_0_0_0_0_0_0_0_0_0	48	144	0x00000022	0	1
B	11	0x0400100000004001	1789909583.340269000	1789909721.587095000	138.246826000	8.8.8.8	443	192.168.64.3	55917	6	5012	192384	0	280	38.38468	43.53189	1895.025	1.147447	4.555871	36.254	1391.598	0.2662961	0.3258718	0x1001	0	1	114	114	0	0x60	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_2884_5012_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	12	0x0400100000004000	1789909801.799839000	1789909801.878198000	0.078359000	192.168.64.3	55917	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	102.0942	0	0.3333333	0	0x1001	0	4	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	12	0x0400100000004001	1789909801.877899000	1789909801.877958000	0.000059000	8.8.8.8	443	192.168.64.3	55917	6	4	0	0	0	0	0	0	0	0	67796.61	0	-0.3333333	0	0x1001	0	0	114	114	0	0x60	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
