%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400100000004000	1790000325.014797000	1790000325.144613000	0.129816000	192.168.64.3	57511	9.9.9.9	443	6	8	0	0	0	0	0	0	0	0	61.62569	0	0	-1	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0515	0x0000	4_0_4_0_8_0_0_0_4_0_4_0_0_0_0_0	0	0	0x00000000	0	0
B	1	0x0400000000004001	1790000325.144453000	1790000325.144530000	0.000077000	9.9.9.9	443	192.168.64.3	57511	6	8	96	0	24	12	14.40244	207.4302	-0.7657483	1.56265	103896.1	1246753	0	1	0x1001	1	1	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0119	0x0000	4_0_0_4_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	2	0x0400100000004000	1790000325.038741000	1790000326.395600000	1.356859000	192.168.64.3	64948	9.9.9.9	443	6	60	3732	0	463	62.2	118.0507	13935.96	2.413156	9.314487	44.21978	2750.47	-0.0625	-0.6747996	0x1201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_32_56_0_0_0_4_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	2	0x0400100000004001	1790000325.165145000	1790000326.453371000	1.288226000	9.9.9.9	443	192.168.64.3	64948	6	68	19220	0	1452	282.6471	493.2772	243322.4	0.8517266	3.30937	52.78577	14919.74	0.0625	0.6747996	0x1201	0	30481	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	4_4_0_32_68_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	2048
A	3	0x0400100000004000	1790000326.498862000	1790000328.079489000	1.580627000	192.168.64.3	64949	9.9.9.9	443	6	80	5768	0	750	72.1	166.2903	27652.47	2.817185	12.08289	50.61283	3649.185	0.1428571	0.1178295	0x5201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_48_76_0_0_0_4_0_0_0_0_0_0_0	8	36	0x0000003e	1460	256
B	3	0x0400100000004001	1790000326.563137000	1790000328.139074000	1.575937000	9.9.9.9	443	192.168.64.3	64949	6	60	4552	0	254	75.86667	104.74	10970.47	0.7989364	2.263603	38.07259	2888.44	-0.1428571	-0.1178295	0x1201	0	28632	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031f	0x0000	4_4_8_28_52_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	2048
A	4	0x0400100000004000	1790000329.000675000	1790000333.695433000	4.694758000	192.168.64.3	64950	9.9.9.9	443	6	108	7100	0	750	65.74074	144.0996	20764.69	3.205473	15.87081	23.00438	1512.325	0.01886792	0.1230623	0x1201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_72_104_0_0_0_4_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	4	0x0400100000004001	1790000329.064492000	1790000333.758216000	4.693724000	9.9.9.9	443	192.168.64.3	64950	6	104	5544	0	254	53.30769	87.36813	7633.191	0.9533941	2.66082	22.15725	1181.152	-0.01886792	-0.1230623	0x1201	0	42281	51	51	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031f	0x0000	4_4_12_36_92_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	2048
A	5	0x0400100000004000	1790000334.643015000	1790000334.893436000	0.250421000	192.168.64.3	64951	9.9.9.9	443	6	44	3164	0	463	71.90909	135.6352	18396.91	2.17953	7.286757	175.7041	12634.72	-0.08333334	-0.6950656	0x1201	0	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_20_40_0_0_0_4_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	5	0x0400000000004001	1790000334.744101000	1790000334.958000000	0.213899000	9.9.9.9	443	192.168.64.3	64951	6	52	17588	0	1452	338.2308	553.0635	305879.3	0.5916968	2.490651	243.1054	82225.73	0.08333334	0.6950656	0x1201	0	23486	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031f	0x0000	4_4_12_24_40_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	2048
